序號,Table分類,是否是Flowable原生 Table,Table名稱,Table定義說明,有被View引用
1,App Engine,Y,ACT_APP_APPDEF,應用程式的打包清單，紀錄一個「應用」包含了哪些流程、表單等。,
2,App Engine,Y,ACT_APP_DEPLOYMENT,應用程式（包含流程、表單）的發佈紀錄。,
3,App Engine,Y,ACT_APP_DEPLOYMENT_RESOURCE,存放應用程式發佈時的詳細設定檔。,
4,BPMN History,Y,ACT_HI_ACTINST,流程中每一個步驟的歷史紀錄，可以看到每個關卡是何時開始、結束、誰處理的。,
5,BPMN History,Y,ACT_HI_ATTACHMENT,流程中所有上傳過的附件的歷史紀錄。,
6,BPMN History,Y,ACT_HI_COMMENT,使用者在流程或任務中留下的所有簽核意見或備註。,
7,BPMN History,Y,ACT_HI_DETAIL,表單欄位或流程變數的詳細歷史修改紀錄，可以看出哪個欄位的值被誰改了。,
8,BPMN History,Y,ACT_HI_ENTITYLINK,用於關聯不同模組的紀錄，屬於較為技術性的內部連結表。,
9,BPMN History,Y,ACT_HI_IDENTITYLINK,任務參與者的歷史紀錄，例如紀錄了某個任務曾有哪些候選人或候選群組。,
10,BPMN History,Y,ACT_HI_PROCINST,每一筆已結束的流程的最終存檔紀錄，可以看到流程的總耗時、發起人、最終結果等。(流程定義表),V_HI_BIZ_EVENT_INFO
,,,,,V_HI_PROCINST_NODE
,,,,,V_HI_PROC_TASK_NODE
11,BPMN History,Y,ACT_HI_TASKINST,每一個使用者任務 (例如「主管審核」) 的歷史紀錄，無論完成與否都會記錄。,V_HI_BIZ_EVENT_INFO
,,,,,V_HI_PROC_TASK_NODE
12,BPMN History,Y,ACT_HI_TSK_LOG,任務的超詳細日誌，連「修改截止日」這種小動作都會被記下來，主要供技術排錯用。,
13,BPMN History,Y,ACT_HI_VARINST,流程中所有內部變數的歷史修改紀錄，主要供技術分析使用。,V_HI_PROCINST_NODE
,,,,,V_HI_PROC_TASK_NODE
14,BPMN Repository,Y,ACT_PROCDEF_INFO,存放流程圖的詳細繪製資訊 (JSON)，讓前端網頁能畫出流程圖並標示進度。,
15,BPMN Repository,Y,ACT_RE_DEPLOYMENT,每一次發佈新版流程圖 (SOP) 的操作紀錄。,
16,BPMN Repository,Y,ACT_RE_MODEL,在 Flowable 網頁設計器上儲存的流程草稿。,
17,BPMN Repository,Y,ACT_RE_PROCDEF,系統中所有已發佈、可使用的流程圖 (SOP) 清單，包含各個版本。(流程定義表),V_HI_BIZ_EVENT_INFO
,,,,,V_HI_PROCINST_NODE
,,,,,V_HI_PROC_TASK_NODE
18,BPMN Runtime,Y,ACT_RU_ACTINST,紀錄所有流程「當下」進行到哪個步驟，資料變動非常快。,
19,BPMN Runtime,Y,ACT_RU_DEADLETTER_JOB,執行失敗的系統自動化工作清單，需要管理者介入處理。,
20,BPMN Runtime,Y,ACT_RU_ENTITYLINK,運行中模組的內部連結表，主要為技術用途。,
21,BPMN Runtime,Y,ACT_RU_EVENT_SUBSCR,系統正在監聽的特定事件清單，例如等待某封Email觸發流程。,
22,BPMN Runtime,Y,ACT_RU_EXECUTION,每一筆「正在跑」的流程的即時狀態。,
23,BPMN Runtime,Y,ACT_RU_EXTERNAL_JOB,等待外部系統回來通知才能繼續的自動化工作清單。,
24,BPMN Runtime,Y,ACT_RU_HISTORY_JOB,系統在背景執行「將運行資料轉存到歷史表」的排程工作。,
25,BPMN Runtime,Y,ACT_RU_IDENTITYLINK,待辦任務與其處理人、候選人的即時關聯。,
26,BPMN Runtime,Y,ACT_RU_JOB,系統待執行的自動化背景工作清單 (例如：時間到要自動發通知)。,
27,BPMN Runtime,Y,ACT_RU_SUSPENDED_JOB,被手動暫停的系統自動化工作清單。,
28,BPMN Runtime,Y,ACT_RU_TASK,所有使用者的「待辦事項」清單，是系統中最核心的即時任務表。,
29,BPMN Runtime,Y,ACT_RU_TIMER_JOB,專門存放計時器類型的系統自動化工作清單。,
30,BPMN Runtime,Y,ACT_RU_VARIABLE,「正在跑」的流程所使用的即時內部變數。,
31,CMMN Engine,Y,ACT_CMMN_CASEDEF,「案件管理 (CMMN)」的SOP藍圖定義。,
32,CMMN Engine,Y,ACT_CMMN_DEPLOYMENT,「案件管理」SOP的發佈紀錄。,
33,CMMN Engine,Y,ACT_CMMN_DEPLOYMENT_RESOURCE,「案件管理」SOP的詳細設定檔。,
34,CMMN Engine,Y,ACT_CMMN_HI_CASE_INST,已結束的「案件」的歷史存檔紀錄。,
35,CMMN Engine,Y,ACT_CMMN_HI_MIL_INST,案件中已達成的「里程碑」的歷史紀錄。,
36,CMMN Engine,Y,ACT_CMMN_HI_PLAN_ITEM_INST,案件中已完成的「計畫項目」的歷史紀錄。,
37,CMMN Engine,Y,ACT_CMMN_RU_CASE_INST,正在進行中的「案件」的即時狀態。,
38,CMMN Engine,Y,ACT_CMMN_RU_MIL_INST,案件中待達成的「里程碑」的即時狀態。,
39,CMMN Engine,Y,ACT_CMMN_RU_PLAN_ITEM_INST,案件中待處理的「計畫項目」的即時狀態。,
40,CMMN Engine,Y,ACT_CMMN_RU_SENTRY_PART_INST,案件中用於判斷流程走向的「觸發條件」的即時狀態。,
41,Content Engine,Y,ACT_CO_CONTENT_ITEM,所有上傳檔案的索引清單與描述資訊。,
42,DMN Engine,Y,ACT_DE_MODEL,「決策表 (DMN)」的草稿。,
43,DMN Engine,Y,ACT_DE_MODEL_HISTORY,「決策表」的歷史修改紀錄。,
44,DMN Engine,Y,ACT_DE_MODEL_RELATION,不同模型之間的關聯，主要為技術用途。,
45,DMN Engine,Y,ACT_DMN_DECISION,已發佈的「決策表」清單。,
46,DMN Engine,Y,ACT_DMN_DEPLOYMENT,「決策表」的發佈紀錄。,
47,DMN Engine,Y,ACT_DMN_DEPLOYMENT_RESOURCE,「決策表」的詳細設定檔。,
48,DMN Engine,Y,ACT_DMN_HI_DECISION_EXECUTION,每一次「決策表」被呼叫執行的歷史紀錄，包含輸入與輸出結果。,
49,Event & Batch,Y,ACT_EVT_LOG,系統所有重要操作的稽核日誌，例如哪個流程被誰啟動了。,
50,Event & Batch,Y,FLW_CHANNEL_DEFINITION,外部事件的「接收管道」設定，例如設定一個接收Email的管道。,
51,Event & Batch,Y,FLW_EVENT_DEFINITION,可觸發流程的「外部事件」定義。,
52,Event & Batch,Y,FLW_EVENT_DEPLOYMENT,「外部事件」的發佈紀錄。,
53,Event & Batch,Y,FLW_EVENT_RESOURCE,「外部事件」的詳細設定檔。,
54,Event & Batch,Y,FLW_RU_BATCH,正在執行中的「批次」工作清單。,
55,Event & Batch,Y,FLW_RU_BATCH_PART,批次工作被拆分後，各個子工作的執行狀況。,
56,Form Engine,Y,ACT_FO_FORM_DEFINITION,已發佈的電子表單**清單。,
57,Form Engine,Y,ACT_FO_FORM_DEPLOYMENT,電子表單的發佈紀錄。,
58,Form Engine,Y,ACT_FO_FORM_INSTANCE,每一次電子表單被填寫並提交的資料存檔。,
59,Form Engine,Y,ACT_FO_FORM_RESOURCE,電子表單的詳細設計檔 (JSON)。,
60,General,Y,ACT_GE_BYTEARRAY,一個通用的「儲藏室」，專門存放檔案內容，像是流程圖設計檔或圖片。,
61,General,Y,ACT_GE_PROPERTY,系統設定檔，記錄例如當前的軟體版本號等資訊。,
62,Identity,Y,ACT_ID_BYTEarray,專門存放使用者相關檔案，例如使用者頭像。,
63,Identity,Y,ACT_ID_GROUP,部門或群組的基本資料表。,
64,Identity,Y,ACT_ID_INFO,使用者的額外資訊，例如個人電話等。,
