指標名稱,指標定義,o,計算單位,畫面顯示單位,使用的View,使用Table (View的來源),關鍵欄位
在途業務事件總數,統計當前所有尚未完成的業務事件總數。,SELECT COUNT(DMP_BIZ_EVENT_KEY),筆數,件,dbo.V_HI_BIZ_EVENT_INFO,ACT_HI_PROCINST,"FIRST_START_TIME,"
,,FROM dbo.V_HI_BIZ_EVENT_INFO,,,,,FINAL_END_TIME
,,WHERE FINAL_END_TIME IS NULL ,,,,,
在途任務總數,統計當前所有處於「待辦 (TODO)」或「處理中 (DOING)」狀態的使用者任務總數。,SELECT SUM(TASK_TODO_CNT + TASK_DOING_CNT),筆數,件,dbo.V_HI_BIZ_EVENT_INFO,"ACT_HI_PROCINST,","FIRST_START_TIME,"
,,FROM dbo.V_HI_BIZ_EVENT_INFO,,,,ACT_HI_TASKINST,"FINAL_END_TIME,"
,,WHERE FINAL_END_TIME IS NULL ,,,,,"TASK_TODO_CNT,"
,,,,,,,TASK_DOING_CNT
逾期在途業務事件數,統計當前所有尚未完成，且已超過其健康度「紅燈」天數的業務事件總數。,SELECT COUNT(T1.DMP_BIZ_EVENT_KEY),筆數,件,"dbo.V_HI_BIZ_EVENT_INFO,","T1.FIRST_START_TIME,",
,,FROM dbo.V_HI_BIZ_EVENT_INFO AS T1,,,"dbo.V_HI_PROCINST_NODE,","T1.FINAL_END_TIME,",
,,"JOIN (SELECT DISTINCT DMP_BIZ_EVENT_KEY, PROC_FACTORY FROM dbo.V_HI_PROCINST_NODE) AS T2",,,dbo.HealthSettings,T2.PROC_FACTORY,
,,ON T1.DMP_BIZ_EVENT_KEY = T2.DMP_BIZ_EVENT_KEY,,,,,
,,JOIN dbo.HealthSettings AS HS -->未來放燈號設定,,,,,
,,ON T2.PROC_FACTORY = HS.FactoryName,,,,,
,,WHERE T1.FINAL_END_TIME IS NULL,,,,,
,,AND T1.FIRST_START_TIME BETWEEN @StartDate AND @EndDate,,,,,
,,"AND DATEDIFF(DAY, T1.FIRST_START_TIME, GETDATE()) > HS.RedThresholdDays;",,,,,
平均業務事件總歷時,針對指定時間範圍內所有已完成的業務事件，計算從啟動到結束的平均歷時。,"SELECT AVG(CAST(DATEDIFF(SECOND, FIRST_START_TIME, FINAL_END_TIME) AS FLOAT))",秒,d-h-m-s,dbo.V_HI_BIZ_EVENT_INFO,ACT_HI_PROCINST,"FIRST_START_TIME,"
,,FROM dbo.V_HI_BIZ_EVENT_INFO,,,,,"FINAL_END_TIME,"
,,WHERE FINAL_END_TIME IS NOT NULL,,,,,TOTAL_BIZE_DURATION
,,  AND (FIRST_START_TIME BETWEEN @StartDate AND @EndDate);,,,,,
平均任務處理時長,遍歷所有已完成業務事件中的使用者任務，計算從「認領」到「完成」的平均歷時。,"SELECT AVG(CAST(DATEDIFF(SECOND, T_TASK.TASK_CLAIM_TIME, T_TASK.END_TIME) AS FLOAT))",秒,d-h-m-s,"dbo.V_HI_PROC_TASK_NODE,","ACT_HI_TASKINST,","T_TASK.NODE_TYPE,"
,,FROM dbo.V_HI_PROC_TASK_NODE AS T_TASK,,,dbo.V_HI_BIZ_EVENT_INFO,ACT_HI_PROCINST,"T_TASK.NODE_STATE,"
,,JOIN dbo.V_HI_BIZ_EVENT_INFO AS T_EVENT,,,,,"T_TASK.TASK_CLAIM_TIME,"
,,ON T_TASK.DMP_BIZ_EVENT_KEY = T_EVENT.DMP_BIZ_EVENT_KEY,,,,,"T_TASK.END_TIME,"
,,WHERE T_EVENT.FIRST_START_TIME BETWEEN @StartDate AND @EndDate,,,,,T_EVENT.FIRST_START_TIME
,,AND T_EVENT.FINAL_END_TIME IS NOT NULL,,,,,
,,AND T_TASK.NODE_TYPE = 'TASK',,,,,
,,AND T_TASK.NODE_STATE = 'DONE';,,,,,
事件自動完成率 (DONE-AUTO),在指定時間範圍內，所有已完成的事件中，其包含的自動完成任務所佔的百分比。,SELECT (CAST(SUM(TASK_AUTOCOMPLETE_CNT) AS FLOAT) * 100),比例,%,dbo.V_HI_BIZ_EVENT_INFO,"ACT_HI_PROCINST,","FIRST_START_TIME,"
,,"/ NULLIF(SUM(TASK_DONE_CNT + TASK_AUTOCOMPLETE_CNT), 0)",,,,ACT_HI_TASKINST,"FINAL_END_TIME,"
,,FROM dbo.V_HI_BIZ_EVENT_INFO,,,,,"TASK_AUTOCOMPLETE_CNT,"
,,WHERE FINAL_END_TIME IS NOT NULL ,,,,,TASK_DONE_CNT
,,,,,,,
指標名稱,指標定義,計算公式 / 邏輯 (SQL 邏輯),計算單位,最終單位,使用的View,使用Table (View的來源),關鍵欄位
在途任務數 - 依部門,統計所有在途任務 (TODO/DOING)，並依「任務承接人」的「部門」分類計數。,"SELECT ISNULL(T_USER.DepartmentName, '未分配'), COUNT(T_TASK.NODE_ID)",筆數,件,"dbo.V_HI_PROC_TASK_NODE,","ACT_HI_TASKINST,","T_TASK.NODE_STATE,"
,,FROM dbo.V_HI_PROC_TASK_NODE AS T_TASK,,,"dbo.V_HI_BIZ_EVENT_INFO,","ACT_HI_PROCINST,","T_TASK.TASK_ASSIGNEE,"
,,LEFT JOIN dbo.DimUsers AS T_USER ON T_TASK.TASK_ASSIGNEE = T_USER.UserID,,,dbo.V_HI_PROCINST_NODE,DimUsers (假設),T_USER.DepartmentName
,,WHERE T_TASK.NODE_TYPE = 'TASK',,,,,
,,"AND T_TASK.NODE_STATE IN ('TODO', 'DOING')",,,,,
,,AND T_TASK.DMP_BIZ_EVENT_KEY IN (T_EVENT_FILTER),,,,,
,,"GROUP BY ISNULL(T_USER.DepartmentName, '未分配');",,,,,
在途任務數 - 依地區,統計所有在途任務 (TODO/DOING)，並依「任務」本身的「地區」分類計數。,"SELECT ISNULL(T_LOC.RegionName, '未知地區'), COUNT(T_TASK.NODE_ID)",筆數,件,"dbo.V_HI_PROC_TASK_NODE,","ACT_HI_TASKINST,","T_TASK.NODE_STATE,"
,,FROM dbo.V_HI_PROC_TASK_NODE AS T_TASK,,,"dbo.V_HI_BIZ_EVENT_INFO,","ACT_HI_PROCINST,","T_TASK.PROC_FACTORY,"
,,LEFT JOIN dbo.DimLocations AS T_LOC ON T_TASK.PROC_FACTORY = T_LOC.FactoryName,,,dbo.V_HI_PROCINST_NODE,"ACT_HI_VARINST,",T_LOC.RegionName
,,WHERE T_TASK.NODE_TYPE = 'TASK',,,,DimLocations (假設),
,,"AND T_TASK.NODE_STATE IN ('TODO', 'DOING')",,,,,
,,AND T_TASK.DMP_BIZ_EVENT_KEY IN (T_EVENT_FILTER),,,,,
,,"GROUP BY ISNULL(T_LOC.RegionName, '未知地區');",,,,,
在途任務數 - 依廠區,統計所有在途任務 (TODO/DOING)，並依「任務」本身的「廠區」分類計數。,"SELECT ISNULL(T_TASK.PROC_PLANT, '未知廠區'), COUNT(T_TASK.NODE_ID)",筆數,件,"dbo.V_HI_PROC_TASK_NODE,","ACT_HI_TASKINST,","T_TASK.NODE_STATE,"
,,FROM dbo.V_HI_PROC_TASK_NODE AS T_TASK,,,"dbo.V_HI_BIZ_EVENT_INFO,","ACT_HI_PROCINST,",T_TASK.PROC_PLANT
,,WHERE T_TASK.NODE_TYPE = 'TASK',,,dbo.V_HI_PROCINST_NODE,ACT_HI_VARINST,
,,"AND T_TASK.NODE_STATE IN ('TODO', 'DOING')",,,,,
,,AND T_TASK.DMP_BIZ_EVENT_KEY IN (T_EVENT_FILTER),,,,,
,,"GROUP BY ISNULL(T_TASK.PROC_PLANT, '未知廠區');",,,,,
在途任務數 - 依人員,統計所有在途任務 (TODO/DOING)，並依「任務承接人」分類計數。,"SELECT CASE WHEN T_TASK.TASK_ASSIGNEE IS NOT NULL THEN CONCAT(ISNULL(T_USER.UserName, '未知'), ' (', T_TASK.TASK_ASSIGNEE, ')') ELSE '未分配' END, COUNT(T_TASK.NODE_ID)",筆數,件,"dbo.V_HI_PROC_TASK_NODE,","ACT_HI_TASKINST,","T_TASK.NODE_STATE,"
,,FROM dbo.V_HI_PROC_TASK_NODE AS T_TASK,,,"dbo.V_HI_BIZ_EVENT_INFO,","ACT_HI_PROCINST,","T_TASK.TASK_ASSIGNEE,"
,,LEFT JOIN dbo.DimUsers AS T_USER ON T_TASK.TASK_ASSIGNEE = T_USER.UserID,,,dbo.V_HI_PROCINST_NODE,DimUsers (假設),T_USER.UserName
,,WHERE T_TASK.NODE_TYPE = 'TASK',,,,,
,,"AND T_TASK.NODE_STATE IN ('TODO', 'DOING')",,,,,
,,AND T_TASK.DMP_BIZ_EVENT_KEY IN (T_EVENT_FILTER),,,,,
,,GROUP BY CASE ... END;,,,,,
,,,,,,,
指標名稱,指標定義,計算公式 / 邏輯 (SQL 邏輯),計算單位,最終單位,使用的View,使用Table (View的來源),關鍵欄位
在途流程健康度快照,統計所有「在途業務事件」(符合篩選條件且尚未完成)，並依照「業務事件名稱」進行分組計數。,SELECT,計數,件,"dbo.V_HI_BIZ_EVENT_INFO,","ACT_HI_PROCINST,","T1.FIRST_DMP_NAME (用於分組),"
,,"T1.FIRST_DMP_NAME,",,,dbo.V_HI_PROCINST_NODE,ACT_HI_VARINST,"T1.FIRST_START_TIME,"
,,COUNT(T1.DMP_BIZ_EVENT_KEY) AS TotalCount,,,,,"T1.FINAL_END_TIME,"
,,FROM,,,,,"T_ROOT.PROC_PLANT,"
,,dbo.V_HI_BIZ_EVENT_INFO AS T1,,,,,T_ROOT.PROC_FACTORY
,,/* JOIN 根節點以取得地點資訊 /,,,,,
,,JOIN dbo.V_HI_PROCINST_NODE AS T_ROOT,,,,,
,,ON T1.DMP_BIZ_EVENT_KEY = T_ROOT.DMP_BIZ_EVENT_KEY AND T_ROOT.DEPTH = 1,,,,,
,,/ (JOIN DimLocations ON T_ROOT.PROC_FACTORY ...) /,,,,,
,,WHERE,,,,,
,,/ 1. 符合儀表板日期篩選 /,,,,,
,,T1.FIRST_START_TIME BETWEEN @StartDate AND @EndDate,,,,,
,,/ 2. 是在途事件 /,,,,,
,,AND T1.FINAL_END_TIME IS NULL,,,,,
,,/ 3. 符合儀表板地點篩選 /,,,,,
,,AND (T_ROOT.PROC_PLANT = @Plant OR @Plant IS NULL),,,,,
,,AND (T_ROOT.PROC_FACTORY = @Factory OR @Factory IS NULL),,,,,
,,/ AND (T_LOC.RegionName = @Region OR @Region IS NULL) */,,,,,
,,GROUP BY,,,,,
,,T1.FIRST_DMP_NAME,,,,,
,,ORDER BY,,,,,
,,TotalCount DESC;,,,,,
