Task ID,Start Date,Claim Time,End Time,Status (Weekly Cohort)
5168fb02-e47b-11f0-b810-6e40e3e6024a,2025-12-29,2025-12-29 13:59:04,2026-01-06 15:43:02,DOING
88dcb572-e48e-11f0-bf7b-965e190dd3fa,2025-12-29,2025-12-30 17:22:14,2026-01-05 16:51:33,DOING
9a1764b9-e47b-11f0-b91f-f260ad480fb9,2025-12-29,2025-12-29 14:00:53,2026-01-06 15:39:01,DOING
affbc326-e489-11f0-b24f-5e140ac69200,2025-12-29,2025-12-29 15:55:12,2026-01-06 05:01:13,DOING
ce3a077a-e488-11f0-833b-1a66a98ce176,2025-12-29,2025-12-29 17:32:44,1970-01-01 00:00:00,DOING
ce5de368-e488-11f0-833b-1a66a98ce176,2025-12-29,2025-12-29 15:40:36,1970-01-01 00:00:00,DOING
d297e366-e488-11f0-b91f-f260ad480fb9,2025-12-29,2025-12-29 17:32:44,2026-01-06 01:58:01,DOING
d2b9ea94-e488-11f0-b91f-f260ad480fb9,2025-12-29,2025-12-29 15:40:25,2026-01-05 17:06:55,DOING
25bc3eb5-e530-11f0-b810-6e40e3e6024a,2025-12-30,2025-12-30 13:14:07,1970-01-01 00:00:00,DOING
2f61baaf-e530-11f0-833b-1a66a98ce176,2025-12-30,2025-12-30 13:14:01,1970-01-01 00:00:00,DOING
337371ba-e530-11f0-bf7b-965e190dd3fa,2025-12-30,2025-12-30 13:13:54,1970-01-01 00:00:00,DOING
384a7531-e530-11f0-b810-6e40e3e6024a,2025-12-30,2025-12-30 13:13:48,1970-01-01 00:00:00,DOING
3c6a0fe0-e530-11f0-b91f-f260ad480fb9,2025-12-30,2025-12-30 13:13:41,1970-01-01 00:00:00,DOING
61a69e17-e4dd-11f0-b91f-f260ad480fb9,2025-12-30,2025-12-30 17:22:14,2026-01-05 16:57:54,DOING
66f828e5-e4dd-11f0-b24f-5e140ac69200,2025-12-30,2025-12-30 17:22:14,2026-01-05 16:52:32,DOING
